anio,semana,dia,contaminante,max,avg
2016,1,6,dioxido_de_azufre,2,2.0000000000000000
2014,1,1,dioxido_de_azufre,5,2.8166666666666667
2013,1,1,dioxido_de_azufre,12,3.8833333333333333
2015,1,4,dioxido_de_azufre,34,18.9083333333333333
2016,1,5,dioxido_de_azufre,2,1.8333333333333333
2015,1,6,dioxido_de_azufre,3,2.0333333333333333
2013,1,0,dioxido_de_azufre,15,7.8833333333333333
2013,1,6,dioxido_de_azufre,47,19.7000000000000000
2014,1,6,dioxido_de_azufre,8,4.8916666666666667
2014,1,0,dioxido_de_azufre,7,3.9666666666666667
2013,1,5,dioxido_de_azufre,57,38.5083333333333333
2016,1,0,dioxido_de_azufre,2,1.8250000000000000
2015,1,0,dioxido_de_azufre,3,2.0166666666666667
2014,1,5,dioxido_de_azufre,9,3.7500000000000000
2014,1,3,dioxido_de_azufre,35,13.8125000000000000
2013,1,4,dioxido_de_azufre,37,15.3250000000000000
2016,1,3,dioxido_de_azufre,4,2.3166666666666667
2015,1,5,dioxido_de_azufre,19,4.6083333333333333
2014,1,4,dioxido_de_azufre,21,8.2750000000000000
2013,1,2,dioxido_de_azufre,23,8.0500000000000000
2016,1,4,dioxido_de_azufre,4,1.8666666666666667
2014,1,2,dioxido_de_azufre,5,3.5666666666666667
2016,1,1,dioxido_de_azufre,29,13.4500000000000000
2016,1,2,dioxido_de_azufre,18,5.9333333333333333
2013,1,3,dioxido_de_azufre,14,7.5000000000000000
2013,1,5,dioxido_de_nitrogeno,38,20.9000000000000000
2015,1,4,dioxido_de_nitrogeno,30,14.8833333333333333
2013,1,1,dioxido_de_nitrogeno,35,16.6000000000000000
2016,1,6,dioxido_de_nitrogeno,38,14.9583333333333333
2014,1,6,dioxido_de_nitrogeno,42,21.3083333333333333
2014,1,3,dioxido_de_nitrogeno,61,19.8916666666666667
2013,1,6,dioxido_de_nitrogeno,47,22.5000000000000000
2015,1,5,dioxido_de_nitrogeno,32,13.9083333333333333
2013,1,0,dioxido_de_nitrogeno,46,19.8583333333333333
2016,1,2,dioxido_de_nitrogeno,36,12.8583333333333333
2015,1,6,dioxido_de_nitrogeno,21,12.3416666666666667
2016,1,1,dioxido_de_nitrogeno,34,17.7083333333333333
2013,1,4,dioxido_de_nitrogeno,35,15.7250000000000000
2013,1,2,dioxido_de_nitrogeno,34,14.9375000000000000
2014,1,1,dioxido_de_nitrogeno,51,23.2333333333333333
