dia_semana,cuarto,parte_dia,contaminante,max,min,avg,stddev
0,1,0,dioxido_de_azufre,104,1,11.9280070237050044,10.9994446487045642
0,1,1,dioxido_de_azufre,105,1,11.8302550571679859,10.7609361022898297
0,1,2,dioxido_de_azufre,106,1,11.8827838827838828,10.6117637168135966
0,1,3,dioxido_de_azufre,110,1,11.7440633245382586,10.4549049420881465
0,1,4,dioxido_de_azufre,115,1,11.6763412489006157,10.4014021594901655
0,1,5,dioxido_de_azufre,120,1,11.6262093227792436,10.4088996896117183
0,1,6,dioxido_de_azufre,123,1,11.5426561125769569,10.4039106431788434
0,1,7,dioxido_de_azufre,126,1,13.7465618860510806,10.7558670462853352
0,1,8,dioxido_de_azufre,127,1,13.6836935166994106,10.8015041902048524
0,1,9,dioxido_de_azufre,128,1,13.5491480996068152,10.8276456697289307
0,1,10,dioxido_de_azufre,127,1,13.4551407989521938,10.9375888581218285
0,1,11,dioxido_de_azufre,127,1,13.3831041257367387,11.0187164755983511
0,1,12,dioxido_de_azufre,128,1,13.3564875491480996,11.1157271768873680
0,1,13,dioxido_de_azufre,128,1,13.3250327653997379,11.1573774387353740
0,1,14,dioxido_de_azufre,127,1,13.3125819134993447,11.1913871575278469
0,1,15,dioxido_de_azufre,125,1,13.3060288335517693,11.1952005095489088
0,1,16,dioxido_de_azufre,125,1,13.2719528178243775,11.2033408243534590
0,1,17,dioxido_de_azufre,125,1,13.2045901639344262,11.1943627975927647
0,1,18,dioxido_de_azufre,125,1,13.1691803278688525,11.1921991802516811
0,1,19,dioxido_de_azufre,125,1,13.1252459016393443,11.1652781886251146
0,1,20,dioxido_de_azufre,123,1,13.0577049180327869,11.0971290997582577
0,1,21,dioxido_de_azufre,123,1,13.0150819672131148,11.0248065883950289
0,1,22,dioxido_de_azufre,128,1,10.6346830985915493,10.6834877526151528
0,1,23,dioxido_de_azufre,125,1,10.5832599118942731,10.5766656886029489
0,2,0,dioxido_de_azufre,78,1,9.3574660633484163,8.8986748374802495
0,2,1,dioxido_de_azufre,78,1,9.3007246376811594,8.8372080474890648
0,2,2,dioxido_de_azufre,78,1,8.9765037593984962,8.4821994228999794
0,2,3,dioxido_de_azufre,77,1,9.0400363967242948,8.2891857039383155
0,2,4,dioxido_de_azufre,76,1,9.0731261425959781,8.4890624375816912
0,2,5,dioxido_de_azufre,75,1,9.0199275362318841,8.3902742121263064
0,2,6,dioxido_de_azufre,76,1,8.9429347826086957,8.2742763454073211
0,2,7,dioxido_de_azufre,78,1,12.0783678756476684,10.1926840666018737
0,2,8,dioxido_de_azufre,78,1,12.4217171717171717,11.0427382269304478
0,2,9,dioxido_de_azufre,89,1,12.6452020202020202,11.9734546236922848
0,2,10,dioxido_de_azufre,92,1,12.5637626262626263,11.7638256176109111
0,2,11,dioxido_de_azufre,79,1,12.3295454545454545,11.2172588706656414
0,2,12,dioxido_de_azufre,79,1,12.0340909090909091,10.5995315421970299
0,2,13,dioxido_de_azufre,80,1,11.8409090909090909,10.3148143098011472
0,2,14,dioxido_de_azufre,79,1,11.6306818181818182,9.8784446917778094
0,2,15,dioxido_de_azufre,79,1,11.4785353535353535,9.6165678195463494
0,2,16,dioxido_de_azufre,78,1,11.3497474747474747,9.4635063897852999
0,2,17,dioxido_de_azufre,75,1,11.3510101010101010,9.5004351525778848
0,2,18,dioxido_de_azufre,72,1,11.3023989898989899,9.4866382371989936
0,2,19,dioxido_de_azufre,69,1,11.2615287428932407,9.4542523192252813
0,2,20,dioxido_de_azufre,68,1,11.1989892608970310,9.3674908699040332
0,2,21,dioxido_de_azufre,68,1,11.1964624131396083,9.4473690204892823
0,2,22,dioxido_de_azufre,68,1,8.2650918635170604,7.9578947332899945
0,2,23,dioxido_de_azufre,68,1,7.9120580235720762,7.6468366250689513
0,3,0,dioxido_de_azufre,65,1,7.7387996618765850,7.1576570937948565
0,3,1,dioxido_de_azufre,66,1,7.7218934911242604,7.1135046466219863
0,3,2,dioxido_de_azufre,66,1,7.7058326289095520,7.0726008921574697
0,3,3,dioxido_de_azufre,65,1,7.6984797297297297,7.0213632024140652
0,3,4,dioxido_de_azufre,64,1,7.7235841081994928,7.0040242241735460
0,3,5,dioxido_de_azufre,64,1,7.7210481825866441,7.0082104314861433
0,3,6,dioxido_de_azufre,62,1,7.7176669484361792,6.9841312008079833
0,3,7,dioxido_de_azufre,64,1,10.8029243483788938,9.5991844751408253
0,3,8,dioxido_de_azufre,64,1,10.8143674507310871,9.7131830910658927
0,3,9,dioxido_de_azufre,61,1,10.7743165924984107,9.6319972216209434
0,3,10,dioxido_de_azufre,58,1,10.7832167832167832,9.7144693150580361
0,3,11,dioxido_de_azufre,56,1,10.6554354736172918,9.4640489571480731
0,3,12,dioxido_de_azufre,58,1,10.6269891788669637,9.4706861063012035
0,3,13,dioxido_de_azufre,58,1,10.5658816040738383,9.4153260090151510
0,3,14,dioxido_de_azufre,64,1,10.5225970719287078,9.4823318037091875
0,3,15,dioxido_de_azufre,58,1,10.5673624288425047,9.4759547764270864
0,3,16,dioxido_de_azufre,58,1,10.3863781031190325,9.3181033474911937
0,3,17,dioxido_de_azufre,58,1,10.3912213740458015,9.4349728916367832
0,3,18,dioxido_de_azufre,62,1,10.3619592875318066,9.4516439978380405
0,3,19,dioxido_de_azufre,66,1,10.3002544529262087,9.3827407643467889
0,3,20,dioxido_de_azufre,71,1,10.2848061029879212,9.3838963511389805
0,3,21,dioxido_de_azufre,76,1,10.2461832061068702,9.3550017631241750
0,3,22,dioxido_de_azufre,81,1,7.0355329949238579,6.4022981964779034
0,3,23,dioxido_de_azufre,85,1,6.9949238578680203,6.4166623661665277
0,4,0,dioxido_de_azufre,99,1,11.7692960135708227,11.2981378529256205
0,4,1,dioxido_de_azufre,95,1,11.5728920409771474,10.9274387472945869
0,4,2,dioxido_de_azufre,88,1,11.7073791348600509,10.9302482819714808
0,4,3,dioxido_de_azufre,92,1,11.6658184902459712,10.7975792925188410
0,4,4,dioxido_de_azufre,96,1,11.6305084745762712,10.6800528955383572
0,4,5,dioxido_de_azufre,99,1,11.5779661016949153,10.5720127235470045
0,4,6,dioxido_de_azufre,100,1,11.6115702479338843,10.3959430122406058
0,4,7,dioxido_de_azufre,100,1,13.7314285714285714,11.1939524164830556
0,4,8,dioxido_de_azufre,100,1,13.6920634920634921,11.1962297042066276
0,4,9,dioxido_de_azufre,101,1,13.5987301587301587,11.1398182713351279
0,4,10,dioxido_de_azufre,101,1,13.5415873015873016,11.1903657632794058
0,4,11,dioxido_de_azufre,101,1,13.4685714285714286,11.1545169876841877
0,4,12,dioxido_de_azufre,101,1,13.4069841269841270,11.1557109884838309
0,4,13,dioxido_de_azufre,101,1,13.3970775095298602,11.1822112204658529
0,4,14,dioxido_de_azufre,101,1,13.3074968233799238,11.1486280842598264
0,4,15,dioxido_de_azufre,101,1,13.2770012706480305,11.1491428731585179
0,4,16,dioxido_de_azufre,98,1,13.1905972045743329,11.0225689077695252
0,4,17,dioxido_de_azufre,101,1,13.1512071156289708,10.9939592934027646
0,4,18,dioxido_de_azufre,101,1,13.0997458703939009,10.9014932720966753
0,4,19,dioxido_de_azufre,101,1,13.0609911054637865,10.8554082675282454
0,4,20,dioxido_de_azufre,102,1,12.9955527318932656,10.7874031475711701
0,4,21,dioxido_de_azufre,102,1,12.8659326424870466,10.7912270859289850
0,4,22,dioxido_de_azufre,102,1,10.8353140916808149,10.3469979283345821
0,4,23,dioxido_de_azufre,102,1,10.8633276740237691,10.3305189880294609
1,1,0,dioxido_de_azufre,127,1,10.5677816901408451,10.5772085126738781
1,1,1,dioxido_de_azufre,130,1,10.2591024555461473,10.5360042376332674
1,1,2,dioxido_de_azufre,131,1,10.4683098591549296,10.6577042578782464
1,1,3,dioxido_de_azufre,131,1,10.4066901408450704,10.7222897299411468
1,1,4,dioxido_de_azufre,131,1,10.3524229074889868,10.8209343305334854
1,1,5,dioxido_de_azufre,131,1,10.2986784140969163,10.8865298715157573
1,1,6,dioxido_de_azufre,131,1,10.2740088105726872,10.9705306415524645
1,1,7,dioxido_de_azufre,130,1,12.5540983606557377,11.3013711013242279
1,1,8,dioxido_de_azufre,132,1,12.6574983628028815,11.4048537540186954
1,1,9,dioxido_de_azufre,138,1,12.7786509495743287,11.5973056939284273
1,1,10,dioxido_de_azufre,146,1,12.8533071381794368,11.7848543536022297
1,1,11,dioxido_de_azufre,154,1,12.9679319371727749,12.0394306516461416
1,1,12,dioxido_de_azufre,161,1,12.9888743455497382,12.1111100029485136
1,1,13,dioxido_de_azufre,164,1,13.0078534031413613,12.1829511932369081
1,1,14,dioxido_de_azufre,167,1,13.0811518324607330,12.2559993508057699
1,1,15,dioxido_de_azufre,166,1,13.1551047120418848,12.3439636354759607
1,1,16,dioxido_de_azufre,163,1,13.1407068062827225,12.3073696525565028
1,1,17,dioxido_de_azufre,164,1,13.1858638743455497,12.3195611877347502
1,1,18,dioxido_de_azufre,162,1,13.2369109947643979,12.3215550642351647
1,1,19,dioxido_de_azufre,159,1,13.2729057591623037,12.3231218004713802
1,1,20,dioxido_de_azufre,159,1,13.3429319371727749,12.4655991246164926
1,1,21,dioxido_de_azufre,160,1,13.4116492146596859,12.5526545914164058
1,1,22,dioxido_de_azufre,162,1,11.3347978910369069,12.4936375013606233
1,1,23,dioxido_de_azufre,161,1,11.4059753954305800,12.4673871612043243
1,2,0,dioxido_de_azufre,68,1,7.9002719854941070,7.6647678365142118
1,2,1,dioxido_de_azufre,68,1,8.0778652668416448,7.8680042170880153
1,2,2,dioxido_de_azufre,68,1,7.8449682683590209,7.6508714836327492
1,2,3,dioxido_de_azufre,68,1,7.8176043557168784,7.6319955164804533
1,2,4,dioxido_de_azufre,68,1,7.7740471869328494,7.6289244601848320
1,2,5,dioxido_de_azufre,68,1,7.7450090744101633,7.6406192328565858
1,2,6,dioxido_de_azufre,68,1,7.7422867513611615,7.6620731867999545
1,2,7,dioxido_de_azufre,66,1,11.4064475347661188,10.0576973784295771
1,2,8,dioxido_de_azufre,68,1,11.7895069532237674,10.9295630469315798
1,2,9,dioxido_de_azufre,78,1,12.1656131479140329,11.6442255305789680
1,2,10,dioxido_de_azufre,72,1,12.1636133922931143,11.5882974267663037
1,2,11,dioxido_de_azufre,72,1,12.1427668982943778,11.4295438222814587
1,2,12,dioxido_de_azufre,72,1,11.9690265486725664,11.0705712279171801
1,2,13,dioxido_de_azufre,72,1,11.8362831858407080,10.6711110289173644
1,2,14,dioxido_de_azufre,72,1,11.8198482932996207,10.5601394139707581
1,2,15,dioxido_de_azufre,72,1,11.7336300063572791,10.5612653146402741
1,2,16,dioxido_de_azufre,73,1,11.8779253636938646,10.6427439950321545
1,2,17,dioxido_de_azufre,74,1,11.9361163820366856,10.7088200887294658
1,2,18,dioxido_de_azufre,75,1,12.1294783155248272,10.8902855408678980
1,2,19,dioxido_de_azufre,75,1,12.1252371916508539,10.9651116185667971
1,2,20,dioxido_de_azufre,75,1,12.1334598355471221,10.9060672921752787
1,2,21,dioxido_de_azufre,75,1,12.1581277672359266,10.9162075547601196
1,2,22,dioxido_de_azufre,75,1,8.2833787465940054,8.1781074622801593
1,2,23,dioxido_de_azufre,74,1,8.3445454545454545,8.1733057849753116
1,3,0,dioxido_de_azufre,89,1,6.9932030586236194,6.4639203806570537
1,3,1,dioxido_de_azufre,94,1,7.0050977060322855,6.5487425062422832
1,3,2,dioxido_de_azufre,97,1,6.9855564995751912,6.5208166445088289
1,3,3,dioxido_de_azufre,100,1,7.0016992353440952,6.5816429803680727
1,3,4,dioxido_de_azufre,103,1,7.0084961767204758,6.6049813091132491
1,3,5,dioxido_de_azufre,105,1,7.0297619047619048,6.6605193288884354
1,3,6,dioxido_de_azufre,107,1,7.0331632653061224,6.7340801474325473
1,3,7,dioxido_de_azufre,108,1,10.3201782304264799,9.8093920401578938
1,3,8,dioxido_de_azufre,109,1,10.5556970082749841,10.5071973061530797
1,3,9,dioxido_de_azufre,109,1,10.7269255251432209,10.9750107308186137
1,3,10,dioxido_de_azufre,109,1,10.7423664122137405,10.8192327747317539
1,3,11,dioxido_de_azufre,109,1,10.7709923664122137,10.6725928240863118
1,3,12,dioxido_de_azufre,109,1,10.7711379529561348,10.7173259187764504
1,3,13,dioxido_de_azufre,110,1,10.6840432294977750,10.2666723304648506
1,3,14,dioxido_de_azufre,108,1,10.6980292434837889,10.2574234240085228
1,3,15,dioxido_de_azufre,106,1,10.7005721551176097,10.1707423988957122
1,3,16,dioxido_de_azufre,105,1,10.6931385006353240,10.1998711675485372
1,3,17,dioxido_de_azufre,102,1,10.7111111111111111,10.2078013976839696
1,3,18,dioxido_de_azufre,100,1,10.7187301587301587,10.1895129292771840
1,3,19,dioxido_de_azufre,95,1,10.6888888888888889,10.0733509172030410
1,3,20,dioxido_de_azufre,91,1,10.6946031746031746,10.0469072702469171
1,3,21,dioxido_de_azufre,86,1,10.7504761904761905,10.0738359621804779
1,3,22,dioxido_de_azufre,82,1,7.5810008481764207,7.0706484826495601
1,3,23,dioxido_de_azufre,77,1,7.5725190839694656,7.0010034217951169
1,4,0,dioxido_de_azufre,102,1,10.9990859232175503,10.4694475153729299
1,4,1,dioxido_de_azufre,102,1,10.9138513513513514,10.3467038065293476
1,4,2,dioxido_de_azufre,102,1,10.9780405405405405,10.3817020355400855
1,4,3,dioxido_de_azufre,101,1,11.0025337837837838,10.4552741586928657
1,4,4,dioxido_de_azufre,102,1,11.0101351351351351,10.5364912884458280
1,4,5,dioxido_de_azufre,100,1,11.0380067567567568,10.6301573310302619
1,4,6,dioxido_de_azufre,98,1,11.1047297297297297,10.7662088975942986
1,4,7,dioxido_de_azufre,95,1,13.2897077509529860,11.1275873300275930
1,4,8,dioxido_de_azufre,97,1,13.3989834815756036,11.2423863725640139
1,4,9,dioxido_de_azufre,98,1,13.6215873015873016,11.5180777757896648
1,4,10,dioxido_de_azufre,96,1,13.7765079365079365,11.7436979448167003
1,4,11,dioxido_de_azufre,94,1,13.9511111111111111,11.8332128896042445
1,4,12,dioxido_de_azufre,91,1,14.0393650793650794,11.9065494924617763
1,4,13,dioxido_de_azufre,87,1,14.0698412698412698,11.9577378801284407
1,4,14,dioxido_de_azufre,85,1,14.1073015873015873,11.9191704370879767
1,4,15,dioxido_de_azufre,88,1,14.1371428571428571,11.9228880170718193
1,4,16,dioxido_de_azufre,91,1,14.1726984126984127,11.9571191181629431
1,4,17,dioxido_de_azufre,88,1,14.1942857142857143,11.9242246616325330
1,4,18,dioxido_de_azufre,92,1,14.2177777777777778,11.8977084011318027
1,4,19,dioxido_de_azufre,97,1,14.2609523809523810,11.8771707324179994
1,4,20,dioxido_de_azufre,101,1,14.2539682539682540,11.8089517844742919
